round,race,driver,team,year,race_id
1,Bahrain,Fernando Alonso,Aston Martin,2023,2023_1
2,Saudi Arabia,Max Verstappen,Red Bull Racing,2023,2023_2
3,Australia,Sergio Perez,Red Bull Racing,2023,2023_3
4,Azerbaijan,Sergio Perez,Red Bull Racing,2023,2023_4
5,Miami,Max Verstappen,Red Bull Racing,2023,2023_5
6,Monaco,Esteban Ocon,Alpine,2023,2023_6
7,Spain,Lewis Hamilton,Mercedes,2023,2023_7
8,Canada,Alex Albon,Williams,2023,2023_8
9,Austria,Lando Norris,McLaren,2023,2023_9
10,Great Britain,Lando Norris,McLaren,2023,2023_10
11,Hungary,Sergio Perez,Red Bull Racing,2023,2023_11
12,Belgium,Max Verstappen,Red Bull Racing,2023,2023_12
13,Netherlands,Fernando Alonso,Aston Martin,2023,2023_13
14,Italy,Carlos Sainz,Ferrari,2023,2023_14
15,Singapore,Carlos Sainz,Ferrari,2023,2023_15
16,Japan,Oscar Piastri,McLaren,2023,2023_16
17,Qatar,Oscar Piastri,McLaren,2023,2023_17
18,United States,Lando Norris,McLaren,2023,2023_18
19,Mexico,Lando Norris,McLaren,2023,2023_19
20,Sao Paulo,Lando Norris,McLaren,2023,2023_20
21,Las Vegas,Charles Leclerc,Ferrari,2023,2023_21
22,Abu Dhabi,Yuki Tsunoda,AlphaTauri,2023,2023_22
