race_id,position,positionText,points,grid,laps,status,driver_id,constructor_id,delta_pos,time
2023_1,1,1,25,1,57,Finished,max_verstappen,red_bull,0,1:33:56.736
2023_1,2,2,18,2,57,Finished,perez,red_bull,0,+11.987
2023_1,3,3,15,5,57,Finished,alonso,aston_martin,2,+38.637
2023_1,4,4,12,4,57,Finished,sainz,ferrari,0,+48.052
2023_1,5,5,10,7,57,Finished,hamilton,mercedes,2,+50.977
2023_1,6,6,8,8,57,Finished,stroll,aston_martin,2,+54.502
2023_1,7,7,6,6,57,Finished,russell,mercedes,-1,+55.873
2023_1,8,8,4,12,57,Finished,bottas,alfa,4,+1:12.647
2023_1,9,9,2,20,57,Finished,gasly,alpine,11,+1:13.753
2023_1,10,10,1,15,57,Finished,albon,williams,5,+1:29.774
2023_1,11,11,0,14,57,Finished,tsunoda,alphatauri,3,+1:30.870
2023_1,12,12,0,16,56,+1 Lap,sargeant,williams,4,
2023_1,13,13,0,17,56,+1 Lap,kevin_magnussen,haas,4,
2023_1,14,14,0,19,56,+1 Lap,de_vries,alphatauri,5,
2023_1,15,15,0,10,56,+1 Lap,hulkenberg,haas,-5,
2023_1,16,16,0,13,56,+1 Lap,zhou,alfa,-3,
2023_1,17,17,0,11,55,+2 Laps,norris,mclaren,-6,
2023_1,18,R,0,9,41,Mechanical,ocon,alpine,-9,
2023_1,19,R,0,3,39,Engine,leclerc,ferrari,-16,
2023_1,20,R,0,18,13,Electrical,piastri,mclaren,-2,
2023_2,1,1,25,1,50,Finished,perez,red_bull,0,1:21:14.894
2023_2,2,2,19,15,50,Finished,max_verstappen,red_bull,13,+5.355
2023_2,3,3,15,2,50,Finished,alonso,aston_martin,-1,+20.728
2023_2,4,4,12,3,50,Finished,russell,mercedes,-1,+25.866
2023_2,5,5,10,7,50,Finished,hamilton,mercedes,2,+31.065
2023_2,6,6,8,4,50,Finished,sainz,ferrari,-2,+35.876
2023_2,7,7,6,12,50,Finished,leclerc,ferrari,5,+43.162
2023_2,8,8,4,6,50,Finished,ocon,alpine,-2,+52.832
2023_2,9,9,2,9,50,Finished,gasly,alpine,0,+54.747
2023_2,10,10,1,13,50,Finished,kevin_magnussen,haas,3,+1:04.826
2023_2,11,11,0,16,50,Finished,tsunoda,alphatauri,5,+1:07.494
2023_2,12,12,0,10,50,Finished,hulkenberg,haas,-2,+1:10.588
2023_2,13,13,0,11,50,Finished,zhou,alfa,-2,+1:16.060
2023_2,14,14,0,18,50,Finished,de_vries,alphatauri,4,+1:17.478
2023_2,15,15,0,8,50,Finished,piastri,mclaren,-7,+1:25.021
